layer,p_pa,z_km,t_k,h2o,sw_heating_k_day,lw_heating_k_day,uv_heating_k_day,day_night_k,relaxation_days,O,O1D,O3,H,OH,HO2,H2O2,H2,NO,NO2,NO3,N2O5,HNO3,N2O,J(O2),J(O3*),J(NO2)
0,95763.5,0.579213,285.118,0.0106567,0.765811,-1.7354,0.00119473,,,7.43622e-18,3.68063e-23,3.34452e-09,6.22837e-22,5.9338e-14,3.69316e-12,1.63995e-10,5.3e-07,1.25727e-13,8.10523e-14,4.13915e-18,1.25656e-21,7.76419e-13,3.3e-07,1.35442e-27,9.33445e-06,0.00314943
1,83384.9,1.72506,279.195,0.00714568,0.655998,-1.54647,0.00116458,,,1.13343e-17,5.62244e-23,4.12624e-09,6.99276e-22,7.1089e-14,3.96402e-12,1.76587e-10,5.28395e-07,2.16441e-13,1.27984e-13,8.58492e-18,8.32882e-21,1.75919e-12,3.29927e-07,5.18994e-26,1.01746e-05,0.0033609
2,72606.4,2.84558,273.089,0.00457457,0.668898,-1.73212,0.0011506,,,1.79312e-17,8.67337e-23,5.33197e-09,7.58325e-22,8.32101e-14,4.01462e-12,1.543e-10,5.27118e-07,4.21018e-13,2.31913e-13,1.59888e-17,6.09461e-20,3.04905e-12,3.29848e-07,1.44858e-24,1.07585e-05,0.00354558
3,63221.1,3.94047,266.828,0.0027504,0.667706,-2.00108,0.00114863,,,2.84398e-17,1.32502e-22,6.96449e-09,7.86419e-22,9.4255e-14,3.79294e-12,1.18717e-10,5.26134e-07,8.36209e-13,4.25537e-13,2.74863e-17,4.54763e-19,4.80471e-12,3.2976e-07,2.92695e-23,1.12043e-05,0.00370762
4,55049,5.00876,260.096,0.00152616,0.652447,-2.1114,0.00117061,,,4.40484e-17,1.95714e-22,9.00323e-09,7.6958e-22,1.0329e-13,3.25892e-12,8.1579e-11,5.254e-07,1.66023e-12,7.58502e-13,4.41615e-17,3.55948e-18,7.15313e-12,3.29665e-07,4.34839e-22,1.14724e-05,0.00384919
5,47933.3,6.04832,252.679,0.000770556,0.595675,-2.07886,0.00121595,,,6.56259e-17,2.77015e-22,1.13942e-08,7.09791e-22,1.10649e-13,2.4796e-12,5.01633e-11,5.24869e-07,3.241e-12,1.27705e-12,6.68712e-17,2.38307e-17,1.01634e-11,3.29561e-07,4.86274e-21,1.15818e-05,0.00397204
6,41737.3,7.05664,244.64,0.000350616,0.497419,-2.00306,0.00128628,,,9.37273e-17,3.78037e-22,1.4066e-08,6.14386e-22,1.15694e-13,1.64189e-12,2.80287e-11,5.24492e-07,6.10134e-12,1.99002e-12,9.55861e-17,9.26134e-17,1.38458e-11,3.29449e-07,4.1983e-20,1.16354e-05,0.0040852
7,36342.3,8.03168,236.172,0.000143981,0.387036,-1.85279,0.00137093,,,1.28792e-16,4.96784e-22,1.69574e-08,4.84725e-22,1.144e-13,9.44933e-13,1.48059e-11,5.24224e-07,1.08615e-11,2.83757e-12,1.2751e-16,2.07227e-16,1.824e-11,3.29329e-07,2.86722e-19,1.15906e-05,0.00419518
8,31644.6,8.97225,227.533,5.40103e-05,0.264573,-1.41167,0.00146979,,,1.71572e-16,6.3336e-22,2.00364e-08,3.37455e-22,1.02912e-13,4.82295e-13,7.85207e-12,5.24024e-07,1.79628e-11,3.68566e-12,1.57319e-16,3.5596e-16,2.36898e-11,3.292e-07,1.58373e-18,1.14748e-05,0.00429443
9,27554.1,9.87813,218.947,1.88045e-05,0.178588,-0.666451,0.00157626,,,2.23354e-16,7.91449e-22,2.32984e-08,2.04848e-22,8.26372e-14,2.25414e-13,4.56362e-12,5.23861e-07,2.73232e-11,4.34277e-12,1.81646e-16,6.28635e-16,3.12134e-11,3.29063e-07,7.21597e-18,1.13438e-05,0.00438628
10,23992.4,10.7532,212.243,7.18475e-06,0.129112,-0.132091,0.00170892,0.0697439,35.8445,2.97484e-16,1.00667e-21,2.67659e-08,1.33432e-22,6.63241e-14,1.176e-13,3.37196e-12,5.23711e-07,3.80202e-11,4.86162e-12,2.10878e-16,1.45055e-15,4.27292e-11,3.28918e-07,2.75886e-17,1.14392e-05,0.00448326
11,20891.1,11.6128,211.195,5e-06,0.117433,-0.115474,0.00868782,0.0641047,33.3573,2.13497e-15,6.32238e-21,1.45195e-07,4.61058e-23,2.01089e-14,1.99104e-14,3.2244e-13,5.18977e-07,2.61028e-10,1.46723e-10,1.49736e-15,8.84092e-14,4.55931e-10,3.2392e-07,9.25816e-17,1.16154e-05,0.00457351
12,18190.7,12.4709,211.359,5e-06,0.138371,-0.140635,0.0173317,0.0754038,30.1559,5.40293e-15,1.39471e-20,2.73561e-07,5.7312e-23,2.03988e-14,2.33647e-14,3.62515e-14,5.13948e-07,4.05217e-10,3.68549e-10,4.6631e-15,5.48633e-13,9.26976e-10,3.18508e-07,2.79814e-16,1.18285e-05,0.00465785
13,15839.3,13.3294,211.322,5e-06,0.164325,-0.162798,0.026991,0.0891083,26.3168,1.08014e-14,2.45305e-20,4.10359e-07,7.95721e-23,2.34881e-14,3.01008e-14,9.57723e-15,5.0871e-07,5.29407e-10,6.17744e-10,9.23375e-15,1.51773e-12,1.43013e-09,3.12782e-07,7.67598e-16,1.20793e-05,0.00473676
14,13791.9,14.1883,211.426,5e-06,0.195565,-0.19717,0.0379368,0.105385,24.3239,1.96988e-14,3.95145e-20,5.60684e-07,1.15501e-22,2.82403e-14,3.96774e-14,8.73531e-15,5.03121e-07,6.50871e-10,8.92295e-10,1.52254e-14,3.02588e-12,1.97008e-09,3.06587e-07,1.92707e-15,1.23913e-05,0.00481059
15,12009.1,15.047,211.156,5e-06,0.229829,-0.228649,0.0500515,0.123019,21.8001,3.36559e-14,6.03031e-20,7.23899e-07,1.67265e-22,3.45922e-14,5.13183e-14,1.11904e-14,4.97286e-07,7.815e-10,1.1781e-09,2.17898e-14,4.81075e-12,2.52865e-09,3.00035e-07,4.46472e-15,1.27772e-05,0.00487961
16,10456.8,15.905,210.936,5e-06,0.267616,-0.268819,0.0638341,0.142308,20.4704,5.57907e-14,8.98348e-20,9.06123e-07,2.46373e-22,4.31137e-14,6.70229e-14,1.52182e-14,4.91085e-07,9.19926e-10,1.48217e-09,2.93444e-14,6.84308e-12,3.11709e-09,2.92988e-07,9.62629e-15,1.32611e-05,0.00494406
17,9105.14,16.762,210.507,5e-06,0.309577,-0.308646,0.0793317,0.163586,18.7056,8.9933e-14,1.31451e-19,1.10797e-06,3.63718e-22,5.44479e-14,8.72639e-14,2.10625e-14,4.84614e-07,1.07128e-09,1.79285e-09,3.71539e-14,8.80921e-12,3.72341e-09,2.85552e-07,1.94706e-14,1.38592e-05,0.00500415
18,7928.19,17.6177,210.215,5e-06,0.356413,-0.357345,0.0972459,0.187273,17.8355,1.43462e-13,1.91447e-19,1.33662e-06,5.48553e-22,6.99823e-14,1.16198e-13,3.03904e-14,4.77755e-07,1.22963e-09,2.11913e-09,4.62046e-14,1.08393e-11,4.36033e-09,2.7759e-07,3.72296e-14,1.45985e-05,0.00506009
19,6903.37,18.4723,209.877,5e-06,0.409252,-0.408508,0.117818,0.213983,16.5104,2.25948e-13,2.77631e-19,1.59296e-06,8.37634e-22,9.13948e-14,1.56554e-13,4.52887e-14,4.70587e-07,1.39929e-09,2.45194e-09,5.59841e-14,1.27027e-11,5.01597e-09,2.692e-07,6.77764e-14,1.55039e-05,0.00511208
20,6011.03,19.3262,209.739,5e-06,0.469052,-0.469778,0.142005,0.244286,15.7896,3.5488e-13,4.03695e-19,1.884e-06,1.31277e-21,1.21728e-13,2.1688e-13,7.08433e-14,4.62993e-07,1.57506e-09,2.80313e-09,6.78287e-14,1.46229e-11,5.69847e-09,2.60249e-07,1.1825e-13,1.66132e-05,0.00516036
21,5234.03,20.1798,209.639,5e-06,0.537071,-0.536479,0.17027,0.27891,14.6942,5.53496e-13,5.87482e-19,2.20879e-06,2.09659e-21,1.65019e-13,3.04984e-13,1.14511e-13,4.55044e-07,1.76446e-09,3.16707e-09,8.12647e-14,1.63932e-11,6.39021e-09,2.50837e-07,1.98883e-13,1.79685e-05,0.00520514
22,4557.47,21.0337,209.769,5e-06,0.614569,-0.615137,0.203872,0.318612,14.1212,8.62642e-13,8.58983e-19,2.57181e-06,3.4514e-21,2.28202e-13,4.39506e-13,1.92355e-13,4.46623e-07,1.9655e-09,3.55932e-09,9.7896e-14,1.82418e-11,7.09083e-09,2.40845e-07,3.24126e-13,1.96297e-05,0.00524668
23,3968.36,21.8886,209.973,5e-06,0.702389,-0.701917,0.243521,0.363987,13.2213,1.33675e-12,1.25837e-18,2.96769e-06,5.82697e-21,3.20874e-13,6.39459e-13,3.28367e-13,4.37798e-07,2.19088e-09,3.97722e-09,1.1713e-13,1.99308e-11,7.77458e-09,2.30385e-07,5.1411e-13,2.16685e-05,0.00528523
24,3455.4,22.7449,210.39,5e-06,0.802106,-0.802548,0.290789,0.416002,12.6848,2.06742e-12,1.85068e-18,3.39552e-06,1.01952e-20,4.58695e-13,9.42749e-13,5.67966e-13,4.28456e-07,2.44395e-09,4.43838e-09,1.40589e-13,2.16128e-11,8.43112e-09,2.19365e-07,7.96528e-13,2.41821e-05,0.00532106
25,3008.75,23.6033,210.882,5e-06,0.913368,-0.912998,0.346637,0.474691,11.8861,3.17603e-12,2.72417e-18,3.84315e-06,1.84436e-20,6.63513e-13,1.38735e-12,9.71794e-13,4.18671e-07,2.74269e-09,4.94034e-09,1.67346e-13,2.29995e-11,9.02809e-09,2.07925e-07,1.20891e-12,2.72912e-05,0.00535442
26,2619.83,24.4644,211.586,5e-06,1.03805,-1.03839,0.412937,0.541241,11.4322,4.86163e-12,4.01724e-18,4.3019e-06,3.48572e-20,9.6924e-13,2.04113e-12,1.63659e-12,4.08341e-07,3.0946e-09,5.50068e-09,1.99029e-13,2.41774e-11,9.54761e-09,1.96015e-07,1.80118e-12,3.11548e-05,0.00538555
27,2281.19,25.3287,212.368,5e-06,1.17398,-1.17369,0.490873,0.614811,10.7662,7.38363e-12,5.91635e-18,4.75259e-06,6.8544e-20,1.42124e-12,2.95845e-12,2.65256e-12,3.97548e-07,3.52408e-09,6.1126e-09,2.33952e-13,2.48144e-11,9.95403e-09,1.83806e-07,2.63828e-12,3.59695e-05,0.00541467
28,1986.32,26.1969,213.344,5e-06,1.32316,-1.32343,0.582434,0.696677,10.3224,1.11538e-11,8.70045e-18,5.179e-06,1.40733e-19,2.08439e-12,4.22205e-12,4.11726e-12,3.86211e-07,4.04577e-09,6.78776e-09,2.73046e-13,2.4932e-11,1.02241e-08,1.71298e-07,3.80236e-12,4.19855e-05,0.00544198
29,1729.56,27.0695,214.415,5e-06,1.4819,-1.48168,0.688776,0.785351,9.69763,1.67102e-11,1.27367e-17,5.55821e-06,2.98717e-19,3.04068e-12,5.86766e-12,6.02735e-12,3.74425e-07,4.68973e-09,7.5091e-09,3.13713e-13,2.42748e-11,1.03254e-08,1.58695e-07,5.3938e-12,4.95056e-05,0.00546764
30,1505.99,27.9471,215.716,5e-06,1.65173,-1.65194,0.811439,0.881748,9.28616,2.48999e-11,1.85442e-17,5.87138e-06,6.53026e-19,4.39787e-12,7.95225e-12,8.3253e-12,3.62135e-07,5.47466e-09,8.27705e-09,3.56343e-13,2.29438e-11,1.02382e-08,1.46041e-07,7.5302e-12,5.88953e-05,0.00549179
31,1311.33,28.8306,217.128,5e-06,1.82908,-1.82891,0.950943,0.984367,8.75265,3.68163e-11,2.67715e-17,6.10137e-06,1.44901e-18,6.28161e-12,1.04294e-11,1.07638e-11,3.4945e-07,6.43646e-09,9.05252e-09,3.96962e-13,2.08528e-11,9.94658e-09,1.33548e-07,1.03428e-11,7.05746e-05,0.0055145
32,1141.82,29.7204,218.736,5e-06,2.01564,-2.01582,1.10898,1.09399,8.35195,5.41706e-11,3.83171e-17,6.23737e-06,3.24647e-18,8.84894e-12,1.32808e-11,1.31042e-11,3.36349e-07,7.59609e-09,9.80957e-09,4.3486e-13,1.82347e-11,9.45213e-09,1.21294e-07,1.39691e-11,8.51247e-05,0.00553584
33,994.227,30.6173,220.455,5e-06,2.21105,-2.21094,1.28625,1.21046,7.84421,7.92883e-11,5.42936e-17,6.27787e-06,7.27712e-18,1.22798e-11,1.6408e-11,1.50649e-11,3.2296e-07,8.98003e-09,1.04869e-08,4.66572e-13,1.52627e-11,8.77179e-09,1.09477e-07,1.85435e-11,0.000103179,0.00555688
34,865.711,31.5218,222.361,5e-06,2.41395,-2.41412,1.4814,1.33304,7.47724,1.15717e-10,7.60705e-17,6.22838e-06,1.62627e-17,1.67678e-11,1.97659e-11,1.65191e-11,3.09297e-07,1.05961e-08,1.10448e-08,4.91855e-13,1.22537e-11,7.93392e-09,9.8169e-08,2.4185e-11,0.000125319,0.00557987
